"time";"therm";"temperature";"humidity";"pressure"
12:39:14.973;14067;169992;395912;100899
;;;;
12:39:15.163;14035;170094;393993;100898
;;;;
12:39:15.364;14035;170145;398217;100897
;;;;
12:39:15.538;14003;170094;398163;100899
;;;;
12:39:15.729;14051;170195;396571;100899
;;;;
12:39:15.918;14019;170145;394048;100898
;;;;
12:39:16.105;14019;170297;397669;100899
;;;;
12:39:16.292;14035;170348;395201;100901
;;;;
12:39:16.493;14099;170348;396901;100902
;;;;
12:39:16.682;14003;170348;396517;100895
;;;;
12:39:16.865;13971;170348;398382;100901
;;;;
12:39:17.065;14003;170398;397121;100901
;;;;
12:39:17.250;14051;1705;395201;100896
;;;;
12:39:17.435;14035;1705;39542;100901
;;;;
12:39:17.619;14003;170602;398438;100896
;;;;
12:39:17.822;14003;170449;394543;100898
;;;;
12:39:18.006;13987;170551;397726;100897
;;;;
12:39:18.192;14003;170602;398713;100898
;;;;
12:39:18.377;13987;170703;393994;100899
;;;;
12:39:18.567;14003;170652;396464;100898
;;;;
12:39:18.767;13923;170805;398604;10090
;;;;
12:39:18.955;13971;170703;395311;100902
;;;;
12:39:19.142;14003;170754;39608;100902
;;;;
12:39:19.328;13987;170754;396464;100901
;;;;
12:39:19.516;13971;170805;397946;100904
;;;;
12:39:19.700;13955;170805;396629;10090
;;;;
12:39:19.881;13923;170906;398165;100903
;;;;
12:39:20.075;13939;170957;394489;100901
;;;;
12:39:20.261;13987;170855;397178;100903
;;;;
12:39:20.449;13955;171008;398604;100902
;;;;
12:39:20.653;13955;170957;394929;100904
;;;;
12:39:20.839;13987;171008;396465;100904
;;;;
12:39:21.026;13955;171008;398989;100901
;;;;
12:39:21.211;13987;171008;396026;100905
;;;;
12:39:21.414;13955;171059;398221;100906
;;;;
12:39:21.601;13955;17116;398441;100903
;;;;
12:39:21.787;13971;171211;396795;100904
;;;;
12:39:21.973;13955;171211;397564;100902
;;;;
12:39:22.162;13955;171312;398003;100903
;;;;
12:39:22.348;13971;171312;398113;100903
;;;;
12:39:22.535;13955;171363;396411;100902
;;;;
12:39:22.719;13987;171414;398223;10090
;;;;
12:39:22.923;13955;171363;398991;100897
;;;;
12:39:23.111;13923;171414;397838;100902
;;;;
12:39:23.298;13955;171465;397345;100903
;;;;
12:39:23.486;13955;171465;398223;10090
;;;;
12:39:23.686;13907;171465;397729;100902
;;;;
12:39:23.856;13923;171516;398278;100898
;;;;
12:39:24.042;13939;171617;398004;10090
;;;;
12:39:24.229;13923;171617;39548;100901
;;;;
12:39:24.413;13923;171668;397071;100899
;;;;
12:39:24.600;13907;171668;397402;100902
;;;;
12:39:24.799;13859;171769;399376;100899
;;;;
12:39:24.987;13939;171719;39817;100901
;;;;
12:39:25.173;13907;171769;398554;100896
;;;;
12:39:25.362;13923;171719;39998;100897
;;;;
12:39:25.564;13955;17182;396359;100894
;;;;
12:39:25.782;13923;171922;398884;100893
;;;;
12:39:25.929;13939;171922;397018;100893
;;;;
12:39:26.134;13955;172074;399597;100897
;;;;
12:39:26.310;13939;171973;395921;100897
;;;;
12:39:26.501;13923;172125;396469;100895
;;;;
12:39:26.693;13875;172074;399104;100895
;;;;
12:39:26.869;13923;172176;400038;100894
;;;;
12:39:27.060;13907;172125;398446;100897
;;;;
12:39:27.268;13907;172277;398556;100896
;;;;
12:39:27.443;13939;172277;399105;100898
;;;;
12:39:27.619;13955;172176;395867;100894
;;;;
12:39:27.810;13923;172328;400203;100897
;;;;
12:39:27.998;13939;172328;398831;100898
;;;;
12:39:28.184;13971;172277;39444;100896
;;;;
12:39:28.387;13971;172379;398557;100895
;;;;
12:39:28.573;13923;172328;399599;100897
;;;;
12:39:28.759;13875;17243;397459;100898
;;;;
12:39:28.944;13955;17248;395374;100901
;;;;
12:39:29.133;13955;17248;397899;10090
;;;;
12:39:29.321;13939;172531;39735;100898
;;;;
12:39:29.506;13955;172582;397954;100894
;;;;
12:39:29.708;13907;172633;398777;100898
;;;;
12:39:29.894;13907;172836;400698;100899
;;;;
12:39:30.080;13923;172734;39768;100898
;;;;
12:39:30.267;13939;172633;399766;100896
;;;;
12:39:30.439;13971;172836;399821;100895
;;;;
12:39:30.653;13939;172734;400645;100897
;;;;
12:39:30.840;13923;172937;398943;100898
;;;;
12:39:31.029;13987;172937;398011;100899
;;;;
12:39:31.199;13971;173039;397626;10090
;;;;
12:39:31.393;13875;173039;394991;100902
;;;;
12:39:31.586;13923;17309;398779;100898
;;;;
12:39:31.771;13875;173141;39856;100899
;;;;
12:39:31.960;13939;173039;398669;100898
;;;;
12:39:32.147;13923;173191;397736;10090
;;;;
12:39:32.335;13939;173191;396474;100899
;;;;
12:39:32.524;13923;173191;400811;100898
;;;;
12:39:32.729;13971;173344;395815;100902
;;;;
12:39:32.918;13923;173242;396364;100901
;;;;
12:39:33.092;13939;173293;397737;100897
;;;;
12:39:33.282;13891;173344;394992;100901
;;;;
12:39:33.471;13939;173394;398177;100903
;;;;
12:39:33.658;13891;173344;396146;100903
;;;;
12:39:33.848;13939;173445;399494;100903
;;;;
12:39:34.040;13955;173445;398836;100902
;;;;
12:39:34.226;13923;173445;398232;100901
;;;;
12:39:34.413;13923;173648;397903;100903
;;;;
12:39:34.597;13907;173648;398397;100902
;;;;
12:39:34.784;13939;173699;395378;100902
;;;;
12:39:35.000;13939;17375;400483;100903
;;;;
12:39:35.171;13907;173699;396751;100904
;;;;
12:39:35.355;13875;173852;395982;100904
;;;;
12:39:35.545;14003;173852;396587;10090
;;;;
12:39:35.731;13907;173902;400045;10090
;;;;
12:39:35.928;13939;173852;398673;100902
;;;;
12:39:36.102;13891;173902;400814;100903
;;;;
12:39:36.292;13875;173953;40021;100902
;;;;
12:39:36.476;13923;173902;396148;100901
;;;;
12:39:36.674;13907;174004;395434;10090
;;;;
12:39:36.850;13891;174055;39785;100904
;;;;
12:39:37.040;13891;174055;396313;100905
;;;;
12:39:37.232;13891;174156;396972;100902
;;;;
12:39:37.422;13875;174156;396972;100901
;;;;
12:39:37.613;13891;174207;399004;100901
;;;;
12:39:37.803;13859;174156;398125;100901
;;;;
12:39:37.976;13875;174207;396149;100904
;;;;
12:39:38.164;13907;174309;398455;100902
;;;;
12:39:38.348;13907;174309;39571;100901
;;;;
12:39:38.551;13875;174309;39895;100903
;;;;
12:39:38.739;13875;174359;4012;100902
;;;;
12:39:38.925;13907;174309;398127;100904
;;;;
12:39:39.109;13907;174461;395985;100902
;;;;
12:39:39.311;13891;174461;399115;100902
;;;;
12:39:39.482;13843;174512;398566;100901
;;;;
12:39:39.686;13859;174512;398401;100902
;;;;
12:39:39.876;13891;174512;399555;100905
;;;;
12:39:40.055;13875;174613;397578;100902
;;;;
12:39:40.227;13843;174562;399994;100902
;;;;
12:39:40.435;13875;174715;39604;10090
;;;;
12:39:40.625;13859;174613;397139;100903
;;;;
12:39:40.813;13843;174664;398401;100904
;;;;
12:39:41.006;13859;174766;398238;100901
;;;;
12:39:41.175;13843;174715;399995;10090
;;;;
12:39:41.371;13859;174867;400215;100903
;;;;
12:39:41.561;13875;174867;398128;100903
;;;;
12:39:41.751;13859;174918;396096;100901
;;;;
12:39:41.944;13859;174867;395821;10090
;;;;
12:39:42.135;13843;174867;396921;100901
;;;;
12:39:42.325;13875;17507;399118;100898
;;;;
12:39:42.513;13827;17507;395712;100895
;;;;
12:39:42.705;13843;17507;397635;100899
;;;;
